"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Municipality ID","Municipality","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",5,0,4.4285712242126465,0.4285714328289032,0,1.0544897317886353,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,2,0,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,6.4285712242126465,0.7142857313156128,0,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",19,"Nuevo León",19039,"Monterrey",22,0,18.285715103149414,1.8571428060531616,0,1.95584237575531,0,"solid"
2020,1,"Q1",3,"2020-03",25,20200325,"2020-03-25","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",5,0,4.5714287757873535,0.1428571492433548,0,1.0544897317886353,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",19,"Nuevo León",19021,"General Escobedo",3,1,2.142857074737549,0.1428571492433548,0.21444271504878998,0.6433281302452087,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,7.142857074737549,0.7142857313156128,0,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",19,"Nuevo León",19039,"Monterrey",22,0,19.85714340209961,1.5714285373687744,0,1.95584237575531,0,"solid"
2020,1,"Q1",3,"2020-03",26,20200326,"2020-03-26","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",5,0,4.714285850524902,0.1428571492433548,0,1.0544897317886353,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",19,"Nuevo León",19021,"General Escobedo",3,0,2.2857143878936768,0.1428571492433548,0,0.6433281302452087,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,7.714285850524902,0.5714285969734192,0,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",19,"Nuevo León",19039,"Monterrey",26,4,21.571428298950195,1.7142857313156128,0.3556077182292938,2.311450242996216,0,"solid"
2020,1,"Q1",3,"2020-03",27,20200327,"2020-03-27","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",7,2,5.142857074737549,0.4285714328289032,0.42179587483406067,1.4762855768203735,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",19,"Nuevo León",19021,"General Escobedo",3,0,2.4285714626312256,0.1428571492433548,0,0.6433281302452087,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,8.285714149475098,0.5714285969734192,0,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",19,"Nuevo León",19039,"Monterrey",27,1,22.85714340209961,1.2857142686843872,0.08890192955732346,2.4003520011901855,0,"solid"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",7,0,5.5714287757873535,0.4285714328289032,0,1.4762855768203735,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",19,"Nuevo León",19021,"General Escobedo",3,0,2.5714285373687744,0.1428571492433548,0,0.6433281302452087,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,8.857142448425293,0.5714285969734192,0,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",19,"Nuevo León",19039,"Monterrey",28,1,24,1.1428571939468384,0.08890192955732346,2.4892539978027344,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",8,1,6,0.4285714328289032,0.21089793741703033,1.6871834993362427,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",19,"Nuevo León",19021,"General Escobedo",3,0,2.7142856121063232,0.1428571492433548,0,0.6433281302452087,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,9,0.1428571492433548,0,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",19,"Nuevo León",19039,"Monterrey",32,4,25.571428298950195,1.5714285373687744,0.3556077182292938,2.8448617458343506,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",8,0,6.4285712242126465,0.4285714328289032,0,1.6871834993362427,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",19,"Nuevo León",19021,"General Escobedo",3,0,2.857142925262451,0.1428571492433548,0,0.6433281302452087,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,9,0,0,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",19,"Nuevo León",19039,"Monterrey",32,0,27,1.4285714626312256,0,2.8448617458343506,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",8,0,6.857142925262451,0.4285714328289032,0,1.6871834993362427,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",19,"Nuevo León",19021,"General Escobedo",3,0,3,0.1428571492433548,0,0.6433281302452087,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",19,"Nuevo León",19026,"Guadalupe",9,0,9,0,0,1.2668687105178833,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",19,"Nuevo León",19039,"Monterrey",32,0,28.428571701049805,1.4285714626312256,0,2.8448617458343506,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",8,0,7.285714149475098,0.4285714328289032,0,1.6871834993362427,0,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",19,"Nuevo León",19006,"Apodaca",3,1,2.142857074737549,0.1428571492433548,0.15021014213562012,0.45063042640686035,0,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",19,"Nuevo León",19021,"General Escobedo",3,0,3,0,0,0.6433281302452087,0,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",19,"Nuevo León",19026,"Guadalupe",11,2,9.285714149475098,0.2857142984867096,0.2815263867378235,1.548395037651062,0,"solid"
